Dialogue_ID,Utterance_ID,Speaker,Emotion,Utterance
0,0,Ses01F_impro01_F,neutral,Excuse me.
0,1,Ses01F_impro01_M,frustration,Do you have your forms?
0,2,Ses01F_impro01_F,neutral,Yeah.
0,3,Ses01F_impro01_M,frustration,Let me see them.
0,4,Ses01F_impro01_F,neutral,Is there a problem?
0,5,Ses01F_impro01_M,frustration,Who told you to get in this line?
0,6,Ses01F_impro01_F,neutral,You did.
0,7,Ses01F_impro01_F,neutral,You were standing at the beginning and you directed me.
0,8,Ses01F_impro01_M,frustration,Okay. But I didn't tell you to get in this line if you are filling out this particular form.
0,9,Ses01F_impro01_F,neutral,Well what's the problem?  Let me change it.
1,0,Ses01F_impro01_M,frustration,This form is a Z.X.four.
1,1,Ses01F_impro01_M,frustration,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID."
1,2,Ses01F_impro01_F,frustration,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.
1,3,Ses01F_impro01_M,frustration,No. I need another set of ID to prove this is actually you.
1,4,Ses01F_impro01_F,frustration,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?
1,5,Ses01F_impro01_M,frustration,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.
1,6,Ses01F_impro01_F,frustration,I'm here to get an ID.
1,7,Ses01F_impro01_M,frustration,"No.  I need another ID, a separate one."
1,8,Ses01F_impro01_F,frustration,Like what?  Like a birth certificate?
1,9,Ses01F_impro01_M,frustration,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?"
2,0,Ses01F_impro01_F,neutral,Who the hell has a birth certificate?
2,1,Ses01F_impro01_F,frustration,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?"
2,2,Ses01F_impro01_M,frustration,"Yeah.  We keep it on file, but we need an ID to access that file."
2,3,Ses01F_impro01_F,anger,That's out of control.
2,4,Ses01F_impro01_M,anger,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
2,5,Ses01F_impro01_F,frustration,How long have you been working here?
2,6,Ses01F_impro01_M,neutral,Actually too long.
2,7,Ses01F_impro01_F,neutral,"Clearly.  You know, do you have like a supervisor or something?"
2,8,Ses01F_impro01_M,anger,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
2,9,Ses01F_impro01_F,frustration,That would - I would appreciate that.  Yeah.
3,0,Ses01F_impro02_F,sadness,Did you get the mail? So you saw my letter?
3,1,Ses01F_impro02_M,neutral,It's not fair.
3,2,Ses01F_impro02_F,sadness,Yeah.  I know.
3,3,Ses01F_impro02_M,sadness,"I don't understand.  You've already done so much, I don't know why do you have to go back."
3,4,Ses01F_impro02_F,sadness,I don't know.  I put in that. request too. They didn't...
3,5,Ses01F_impro02_F,neutral,"I guess, you know, everybody has to make sacrifices."
3,6,Ses01F_impro02_M,neutral,"I don't know, it's just not fair.  I think you've already made your sacrifice."
3,7,Ses01F_impro02_F,sadness,"There's people that have given more though, you know?"
3,8,Ses01F_impro02_M,frustration,I just don't see how they can make you leave when you have a new baby - we have a new kid.
3,9,Ses01F_impro02_F,sadness,I know.
4,0,Ses01F_impro02_M,neutral,Then why is that fair?  Why--
4,1,Ses01F_impro02_F,neutral,"There's babies over there, though, that need mothers."
4,2,Ses01F_impro02_M,sadness,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
4,3,Ses01F_impro02_F,neutral,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix."
4,4,Ses01F_impro02_M,neutral,I'm just trying to think of another way.  I'm just trying to...
4,5,Ses01F_impro02_F,sadness,"Just, you know, kicking myself."
4,6,Ses01F_impro02_F,neutral,like you sign up because you need money and
4,7,Ses01F_impro02_F,sadness,things just aren't what they seem.
4,8,Ses01F_impro02_M,neutral,This is a stupid war.
4,9,Ses01F_impro02_F,neutral,"We're doing the right thing, though."
5,0,Ses01F_impro02_M,frustration,I know.
5,1,Ses01F_impro02_M,sadness,I just don't see why it has to be you.
5,2,Ses01F_impro02_F,sadness,"If not me then, who?"
5,3,Ses01F_impro02_M,sadness,What am I going to do? Huh?
5,4,Ses01F_impro02_F,sadness,"You'll videotape everything, yeah?"
5,5,Ses01F_impro02_M,sadness,Yeah.
5,6,Ses01F_impro02_F,sadness,"Maybe you can send it to me, like stream it, yeah?"
5,7,Ses01F_impro02_M,neutral,Don't you guys have access to computers over there.
5,8,Ses01F_impro02_F,sadness,Last month--  Yeah.
6,0,Ses01F_impro02_M,sadness,I just don't know how I'm going to do it without you.
6,1,Ses01F_impro02_F,neutral,I have to find sitters.
6,2,Ses01F_impro02_M,sadness,I can't raise a baby by myself.  How?
6,3,Ses01F_impro02_F,sadness,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
6,4,Ses01F_impro02_M,neutral,I know.
6,5,Ses01F_impro02_F,neutral,And your mother is close by.
6,6,Ses01F_impro02_F,sadness,I'll send you lots of letters.
6,7,Ses01F_impro02_F,sadness,And I want lots and lots and lots of pictures.
6,8,Ses01F_impro02_M,frustration,It's just not fair.
7,0,Ses01F_impro03_M,neutral,So what's up?  What's new?
7,1,Ses01F_impro03_F,happiness,Well Vegas was awesome.
7,2,Ses01F_impro03_M,neutral,Yeah.  I heard.
7,3,Ses01F_impro03_F,happiness,"And, um, I got married."
7,4,Ses01F_impro03_M,neutral,Shut up.  No- in Vegas?
7,5,Ses01F_impro03_F,happiness,Yeah.  In the old town part.
7,6,Ses01F_impro03_M,neutral,Who did you marry?
7,7,Ses01F_impro03_F,neutral,Chuck. [LAUGHTER]
7,8,Ses01F_impro03_M,neutral,Did you propose to you?
8,0,Ses01F_impro03_F,happiness,Um- Yes.  It was very romantic.
8,1,Ses01F_impro03_F,happiness,It was at the slot machines.
8,2,Ses01F_impro03_M,neutral,Oh.  The Wheel of Fortune slots?
8,3,Ses01F_impro03_F,happiness,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
8,4,Ses01F_impro03_M,neutral,He turned to you and was like...
8,5,Ses01F_impro03_F,neutral,Hey.  Let's get married and I said okay.
8,6,Ses01F_impro03_M,happiness,[LAUGHTER] That's really romantic.
8,7,Ses01F_impro03_F,happiness,"Yeah.  Well.  You know, because he's leaving the next day."
8,8,Ses01F_impro03_M,neutral,Yeah.
9,0,Ses01F_impro03_F,happiness,But we're going to have a honeymoon cruise.
9,1,Ses01F_impro03_M,neutral,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
9,2,Ses01F_impro03_F,happiness,Oh.  I hadn't even thought about that.
9,3,Ses01F_impro03_M,neutral,Yeah.  Think about that.
9,4,Ses01F_impro03_F,neutral,"He's not going to be a citizen, though."
9,5,Ses01F_impro03_M,neutral,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
9,6,Ses01F_impro03_F,happiness,Oh.  Totally.
9,7,Ses01F_impro03_M,neutral,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?"
9,8,Ses01F_impro03_F,happiness,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
10,0,Ses01F_impro03_M,happiness,Like you need another one of those.[LAUGHTER]
10,1,Ses01F_impro03_F,neutral,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.
10,2,Ses01F_impro03_M,happiness,Is that your phone?
10,3,Ses01F_impro03_F,neutral,"Yeah, so [LAUGHTER] He's calling me now"
10,4,Ses01F_impro03_M,happiness,He loves you.
10,5,Ses01F_impro03_F,happiness,"He likes to keep tabs, you know."
10,6,Ses01F_impro03_M,neutral,How much did he win at the slot?
10,7,Ses01F_impro03_F,neutral,"Uh, I think seven hundred and fifty dollars."
10,8,Ses01F_impro03_M,neutral,Really? Penny slots?
11,0,Ses01F_impro03_F,neutral,Penny slots. That's what he plays.
11,1,Ses01F_impro03_M,neutral,Wow.
11,2,Ses01F_impro03_F,neutral,Yeah.
11,3,Ses01F_impro03_M,neutral,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
11,4,Ses01F_impro03_F,neutral,Oh.
11,5,Ses01F_impro03_F,happiness,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
11,6,Ses01F_impro03_M,neutral,"But the pennies always get you because you end up spending like, you know, fifty bucks."
11,7,Ses01F_impro03_F,neutral,Fifty bucks. Mmhmm.
12,0,Ses01F_impro03_M,neutral,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
12,1,Ses01F_impro03_F,neutral,Yeah.
12,2,Ses01F_impro03_F,happiness,Well so now we're married. We have cat children.
12,3,Ses01F_impro03_M,neutral,Awesome.
12,4,Ses01F_impro03_M,happiness,[LAUGHTER] Cat babies.
12,5,Ses01F_impro03_F,happiness,"We renamed Brenda, Lumber Janet."
12,6,Ses01F_impro03_M,neutral,That's fair enough.
12,7,Ses01F_impro03_F,happiness,She needs a new name each state that we go into. [LAUGHTER]
13,0,Ses01F_impro04_M,neutral,"Have you tried, uh, Craig's List?"
13,1,Ses01F_impro04_F,neutral,"Uh, what?  Craig's List?  Oh the internet thing?"
13,2,Ses01F_impro04_M,neutral,Yeah.
13,3,Ses01F_impro04_F,neutral,I don't know.  Isn't that-- that's all like escort services and things like that.
13,4,Ses01F_impro04_M,neutral,No.  There's regular jobs on there.
13,5,Ses01F_impro04_F,frustration,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board."
13,6,Ses01F_impro04_M,neutral,Uh huh.
