Dialogue_ID,Utterance_ID,Speaker,Emotion,Utterance
0,0,Ses01F_impro01_F,neutral,Excuse me.
0,1,Ses01F_impro01_M,frustration,Do you have your forms?
0,2,Ses01F_impro01_F,neutral,Yeah.
0,3,Ses01F_impro01_M,frustration,Let me see them.
0,4,Ses01F_impro01_F,neutral,Is there a problem?
0,5,Ses01F_impro01_M,frustration,Who told you to get in this line?
0,6,Ses01F_impro01_F,neutral,You did.
0,7,Ses01F_impro01_F,neutral,You were standing at the beginning and you directed me.
0,8,Ses01F_impro01_M,frustration,Okay. But I didn't tell you to get in this line if you are filling out this particular form.
0,9,Ses01F_impro01_F,neutral,Well what's the problem?  Let me change it.
0,10,Ses01F_impro01_M,frustration,This form is a Z.X.four.
0,11,Ses01F_impro01_M,frustration,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID."
0,12,Ses01F_impro01_F,frustration,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.
0,13,Ses01F_impro01_M,frustration,No. I need another set of ID to prove this is actually you.
0,14,Ses01F_impro01_F,frustration,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?
0,15,Ses01F_impro01_M,frustration,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.
0,16,Ses01F_impro01_F,frustration,I'm here to get an ID.
0,17,Ses01F_impro01_M,frustration,"No.  I need another ID, a separate one."
0,18,Ses01F_impro01_F,frustration,Like what?  Like a birth certificate?
0,19,Ses01F_impro01_M,frustration,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?"
0,20,Ses01F_impro01_F,neutral,Who the hell has a birth certificate?
0,21,Ses01F_impro01_F,frustration,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?"
0,22,Ses01F_impro01_M,frustration,"Yeah.  We keep it on file, but we need an ID to access that file."
0,23,Ses01F_impro01_F,anger,That's out of control.
0,24,Ses01F_impro01_M,anger,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
0,25,Ses01F_impro01_F,frustration,How long have you been working here?
0,26,Ses01F_impro01_M,neutral,Actually too long.
0,27,Ses01F_impro01_F,neutral,"Clearly.  You know, do you have like a supervisor or something?"
0,28,Ses01F_impro01_M,anger,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
0,29,Ses01F_impro01_F,frustration,That would - I would appreciate that.  Yeah.
1,0,Ses01F_impro02_F,sadness,Did you get the mail? So you saw my letter?
1,1,Ses01F_impro02_M,neutral,It's not fair.
1,2,Ses01F_impro02_F,sadness,Yeah.  I know.
1,3,Ses01F_impro02_M,sadness,"I don't understand.  You've already done so much, I don't know why do you have to go back."
1,4,Ses01F_impro02_F,sadness,I don't know.  I put in that. request too. They didn't...
1,5,Ses01F_impro02_F,neutral,"I guess, you know, everybody has to make sacrifices."
1,6,Ses01F_impro02_M,neutral,"I don't know, it's just not fair.  I think you've already made your sacrifice."
1,7,Ses01F_impro02_F,sadness,"There's people that have given more though, you know?"
1,8,Ses01F_impro02_M,frustration,I just don't see how they can make you leave when you have a new baby - we have a new kid.
1,9,Ses01F_impro02_F,sadness,I know.
1,10,Ses01F_impro02_M,neutral,Then why is that fair?  Why--
1,11,Ses01F_impro02_F,neutral,"There's babies over there, though, that need mothers."
1,12,Ses01F_impro02_M,sadness,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
1,13,Ses01F_impro02_F,neutral,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix."
1,14,Ses01F_impro02_M,neutral,I'm just trying to think of another way.  I'm just trying to...
1,15,Ses01F_impro02_F,sadness,"Just, you know, kicking myself."
1,16,Ses01F_impro02_F,neutral,like you sign up because you need money and
1,17,Ses01F_impro02_F,sadness,things just aren't what they seem.
1,18,Ses01F_impro02_M,neutral,This is a stupid war.
1,19,Ses01F_impro02_F,neutral,"We're doing the right thing, though."
1,20,Ses01F_impro02_M,frustration,I know.
1,21,Ses01F_impro02_M,sadness,I just don't see why it has to be you.
1,22,Ses01F_impro02_F,sadness,"If not me then, who?"
1,23,Ses01F_impro02_M,sadness,What am I going to do? Huh?
1,24,Ses01F_impro02_F,sadness,"You'll videotape everything, yeah?"
1,25,Ses01F_impro02_M,sadness,Yeah.
1,26,Ses01F_impro02_F,sadness,"Maybe you can send it to me, like stream it, yeah?"
1,27,Ses01F_impro02_M,neutral,Don't you guys have access to computers over there.
1,28,Ses01F_impro02_F,sadness,Last month--  Yeah.
1,29,Ses01F_impro02_M,sadness,I just don't know how I'm going to do it without you.
1,30,Ses01F_impro02_F,neutral,I have to find sitters.
1,31,Ses01F_impro02_M,sadness,I can't raise a baby by myself.  How?
1,32,Ses01F_impro02_F,sadness,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
1,33,Ses01F_impro02_M,neutral,I know.
1,34,Ses01F_impro02_F,neutral,And your mother is close by.
1,35,Ses01F_impro02_F,sadness,I'll send you lots of letters.
1,36,Ses01F_impro02_F,sadness,And I want lots and lots and lots of pictures.
1,37,Ses01F_impro02_M,frustration,It's just not fair.
2,0,Ses01F_impro03_M,neutral,So what's up?  What's new?
2,1,Ses01F_impro03_F,happiness,Well Vegas was awesome.
2,2,Ses01F_impro03_M,neutral,Yeah.  I heard.
2,3,Ses01F_impro03_F,happiness,"And, um, I got married."
2,4,Ses01F_impro03_M,neutral,Shut up.  No- in Vegas?
2,5,Ses01F_impro03_F,happiness,Yeah.  In the old town part.
2,6,Ses01F_impro03_M,neutral,Who did you marry?
2,7,Ses01F_impro03_F,neutral,Chuck. [LAUGHTER]
2,8,Ses01F_impro03_M,neutral,Did you propose to you?
2,9,Ses01F_impro03_F,happiness,Um- Yes.  It was very romantic.
2,10,Ses01F_impro03_F,happiness,It was at the slot machines.
2,11,Ses01F_impro03_M,neutral,Oh.  The Wheel of Fortune slots?
2,12,Ses01F_impro03_F,happiness,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
2,13,Ses01F_impro03_M,neutral,He turned to you and was like...
2,14,Ses01F_impro03_F,neutral,Hey.  Let's get married and I said okay.
2,15,Ses01F_impro03_M,happiness,[LAUGHTER] That's really romantic.
2,16,Ses01F_impro03_F,happiness,"Yeah.  Well.  You know, because he's leaving the next day."
2,17,Ses01F_impro03_M,neutral,Yeah.
2,18,Ses01F_impro03_F,happiness,But we're going to have a honeymoon cruise.
2,19,Ses01F_impro03_M,neutral,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
2,20,Ses01F_impro03_F,happiness,Oh.  I hadn't even thought about that.
2,21,Ses01F_impro03_M,neutral,Yeah.  Think about that.
2,22,Ses01F_impro03_F,neutral,"He's not going to be a citizen, though."
2,23,Ses01F_impro03_M,neutral,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
2,24,Ses01F_impro03_F,happiness,Oh.  Totally.
2,25,Ses01F_impro03_M,neutral,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?"
2,26,Ses01F_impro03_F,happiness,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
2,27,Ses01F_impro03_M,happiness,Like you need another one of those.[LAUGHTER]
2,28,Ses01F_impro03_F,neutral,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.
2,29,Ses01F_impro03_M,happiness,Is that your phone?
2,30,Ses01F_impro03_F,neutral,"Yeah, so [LAUGHTER] He's calling me now"
2,31,Ses01F_impro03_M,happiness,He loves you.
2,32,Ses01F_impro03_F,happiness,"He likes to keep tabs, you know."
2,33,Ses01F_impro03_M,neutral,How much did he win at the slot?
2,34,Ses01F_impro03_F,neutral,"Uh, I think seven hundred and fifty dollars."
2,35,Ses01F_impro03_M,neutral,Really? Penny slots?
2,36,Ses01F_impro03_F,neutral,Penny slots. That's what he plays.
2,37,Ses01F_impro03_M,neutral,Wow.
2,38,Ses01F_impro03_F,neutral,Yeah.
2,39,Ses01F_impro03_M,neutral,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
2,40,Ses01F_impro03_F,neutral,Oh.
2,41,Ses01F_impro03_F,happiness,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
2,42,Ses01F_impro03_M,neutral,"But the pennies always get you because you end up spending like, you know, fifty bucks."
2,43,Ses01F_impro03_F,neutral,Fifty bucks. Mmhmm.
2,44,Ses01F_impro03_M,neutral,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
2,45,Ses01F_impro03_F,neutral,Yeah.
2,46,Ses01F_impro03_F,happiness,Well so now we're married. We have cat children.
2,47,Ses01F_impro03_M,neutral,Awesome.
2,48,Ses01F_impro03_M,happiness,[LAUGHTER] Cat babies.
2,49,Ses01F_impro03_F,happiness,"We renamed Brenda, Lumber Janet."
2,50,Ses01F_impro03_M,neutral,That's fair enough.
2,51,Ses01F_impro03_F,happiness,She needs a new name each state that we go into. [LAUGHTER]
3,0,Ses01F_impro04_M,neutral,"Have you tried, uh, Craig's List?"
3,1,Ses01F_impro04_F,neutral,"Uh, what?  Craig's List?  Oh the internet thing?"
3,2,Ses01F_impro04_M,neutral,Yeah.
3,3,Ses01F_impro04_F,neutral,I don't know.  Isn't that-- that's all like escort services and things like that.
3,4,Ses01F_impro04_M,neutral,No.  There's regular jobs on there.
3,5,Ses01F_impro04_F,frustration,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board."
3,6,Ses01F_impro04_M,neutral,Uh huh.
