Dialogue_ID,Utterance_ID,Speaker,Emotion,Utterance
0,0,Ses01F_impro05_F,anger,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline."
0,1,Ses01F_impro05_M,neutral,"No, no.  This is real."
0,2,Ses01F_impro05_F,neutral,So you'll give me money and then I'll get my bag?
0,3,Ses01F_impro05_M,neutral,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because..."
0,4,Ses01F_impro05_M,neutral,this is the only track record that we have and if it's not listed here then it's probably not anywhere.
0,5,Ses01F_impro05_F,anger,"You're kidding me, this is a joke."
0,6,Ses01F_impro05_M,neutral,"Once again, I'm really- I'm really sorry."
0,7,Ses01F_impro05_F,anger,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.
1,0,Ses01M_impro05_F,neutral,It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...
1,1,Ses01M_impro05_F,neutral,...and your future...
1,2,Ses01M_impro05_M,neutral,"I'm sorry, wait a minute.  Are you saying I'm not going to get my bag at all?"
1,3,Ses01M_impro05_F,neutral,No.
1,4,Ses01M_impro05_M,neutral,It's gone.
1,5,Ses01M_impro05_F,neutral,Yes.
1,6,Ses01M_impro05_M,frustration,Where is it?  Where did it go?
1,7,Ses01M_impro05_F,neutral,We've actually...
1,8,Ses01M_impro05_M,neutral,You mean did someone steal it? Do people steal bags?
2,0,Ses02F_script03_1_F,neutral,"Oh, dear, shall we like that?"
2,1,Ses02F_script03_1_M,neutral,Depends on how well we've played.
2,2,Ses02F_script03_1_F,neutral,"Well, what happens if one of us dies?  I mean, does the one that's left still laugh?"
2,3,Ses02F_script03_1_M,neutral,Yes.  Yes. With all his might.
2,4,Ses02F_script03_1_F,neutral,"That's serious enough, isn't it?"
2,5,Ses02F_script03_1_M,neutral,"No. No, it isn't.  Death is very laughable.  Such a cunning little mystery.  All done with mirrors."
2,6,Ses02F_script03_1_F,happiness,"Darling, I believe you're talking nonsense."
2,7,Ses02F_script03_1_M,neutral,So is everyone else in the long run.
